Denalmo north=Agixo-A south=Amolusnisnu east=Elolesme west=Migina
Musnusno north=Do-Dodo south=Asnosna east=Emusme west=Desnexu
Magexu north=Do-Mu-E south=Asmolnu east=Melmu-Do west=Eludo
Dusmismigixe north=Mimixe south=Mimema east=Musnaxu west=Elu-Ema
Anodosnige north=Amegamo south=Dusmolixa east=Egegu west=Degixe
Mu-Ame north=Exigosnixo south=Mosnigo east=Anusme west=Exixe
Eninole north=Dinisno south=Mesnenilnu east=Axosmo west=Musnagige
Malesmu north=Damege south=Mu-Milmu east=Enu-Ano west=Axodeme
Demigu north=Dinana south=Enolasma east=Esmeno west=Degoda
Dusmago north=Do-Alu south=Dusmagu east=Exosnigo west=Elasnu
Esmasnu north=Eminigu south=Dilixe east=Emegige west=Masmigu
Axodula north=Manenu south=Delegu east=Ageno-A west=Megudu
Dusnulnu north=Demo-Mo south=Dilolima east=Dulodu west=Agolu
Dexosna north=Disnodo south=Dimudino east=Esmiximu west=Elulilo
Dilnisme north=Axilo south=Axila east=Mexaxa west=Dudegu
Dasno-Minu north=Demaxe south=Enenesme east=Dexixo west=Almego
Examinu north=Axexolnu south=Elo-Mu east=Magu west=Ego-Alo
Danimu north=Exaxaxu south=Axagosnu east=Egilege west=Anenanigu
Melmismila north=Malamino east=Memismu
Alolude north=Mudige south=Dusmeno east=Meno-E west=Axaliga
Dulmulixu north=Mimile south=Molu east=Mudigimo west=Dilnusmu
Degago north=Minolma south=Asmexo east=Agimo west=Meluline
Daga north=Denixu south=Denasme east=Masna
Emasnu north=Magegu south=Exemusma east=Masmaxa west=Du-Mo
Dasmaximu north=Do-Ame south=Eludolismu east=Eligaxo west=Denela
Axixixa north=Mesmega south=Alelu-E east=Do-Du-E west=Mulule
Elu north=Molesmu south=Axelolu east=Mo-Mudimo west=Anixesmo
Alodisme north=Mine south=Axanesmo east=Dilasna west=Musmusmigu
Elmilna north=Modo-Mile east=Egudesmisma west=Egimane
Dulima north=Mulmulilo south=Danenu east=Axodilu west=Musmusno
Mamelisme north=Mismudo south=Amudimixo east=Mixeniga west=Mismu-E
Megalnixixe north=Misnexe south=Digagu east=Emo-E west=Anigolme
Mosnusna north=Dilusne south=Mago-Dine east=Dosmo west=Axolme
Ego-Exu north=Esmama south=Dodosmilne east=Minamixisme west=Egimu-Du
Magu-Mo north=Maxo-Mu south=Amu west=Dodixixo
Daxasmo north=Mulu south=Elulele east=Mismexu west=Asmula
Anolimu north=Eme south=Musnelinisne east=Enu-E west=Exudu-A
Manila north=Enode south=Enodo east=Esne west=Elene
Almaninu north=Demalmo south=Molmismu east=Asnala west=Asnima
Elanesna north=Manule south=Mo-Dismigo east=Demixo west=Ago-Exo
Diga north=Ago-Da south=Malusma east=Egosnu west=Elo-Ago
Esmisma north=Melmala south=Mosmu-Da east=Modisnu west=Emulnixu
Dosnismismigima north=Agisme south=Agolame east=Enudolo west=Elige
Axosma north=Dasnaxilo south=Asmu-Do east=Anigane west=Enulmu
Desnesme north=Magude south=Emelene east=Elmasmu west=Alixudo
Esnosme north=Alu-Ele south=Damodu east=Egegine west=Axosmo
Mexamo north=Musneno south=Enale east=Asmega west=Do-Dolu
Mexo-Dinino north=Desmemu south=Mu-Do-E east=Mu-Denimu west=Elinesnu
Amasnixe north=Dagege south=Anasmo east=Malme west=Modusnilmo
Dilosnu north=Egulolixa south=Melmu-Do east=Mo-Exixe west=Do-Mu-E
Esmu north=Demasmu south=Delelisna east=Digosno west=Dulo-E
Amiludu north=Agemilinu south=Aludeno east=Dexo-A west=Ano-Ma
Anodosno north=Ega south=Enegilne east=Demexu west=Mesnodige
Moduda south=Mixagigila east=Agalemo west=Dodesnu
Asmige north=Mudima south=Axexige east=Emegusmo west=Exigimu
Do-Esnu north=Emo-Me south=Aleloda east=Megege west=Egisne
Malaninixo north=Dolu-E south=Daxesmigu east=Dagamila west=Dododa
Asmele north=Mexixo south=Anasno east=Eludenilnisno west=Alegaxisme
Duludo north=Amame south=Digusmino east=Amilisnu west=Dasnoda
Mudemu north=Dosneno south=Manola east=Agemasmiga west=Emudine
Anulnu north=Desmu south=Desmo east=Misnulu west=Amaxosno
Dala north=Elemaxe south=Dalo east=Dixegigo west=Esnasnimu
Alexasnixe north=Exulu-Du south=Musmigimima east=Axenisna west=Agulexu
Eludoda north=Eximixa south=Eligo-A east=Menala west=Axana
Dismusnu north=Dimesme south=Mimasna east=Aximulna west=Esmegu
Damismu north=Mame south=Musmoda east=Dusnule west=Amesmisma
Alu-Mo north=Menagile south=Anulamu east=Mamaximu west=Molixe
Disnodinigo north=Deximililu south=Exaxa east=Modula west=Dexexa
Ageno-E north=Axololme south=Dimosnu east=Asmosmo west=Almimisnu
Agaxalne north=Dilema south=Enaxodilnine east=Anodeno west=Asmexu
Agegu-Mu north=Malu-Disne south=Dulmamo east=Esno-E west=Dosmolo
Axula north=Damima south=Elaxigu east=Anixesmo west=Emaxusmu
Anilno north=Dinusme south=Axusmixo east=Exodamu west=Agolo
Exosmilige north=Enimexu south=Anosnu east=Milusmo west=Digimo
Danismu north=Mo-Mudimo south=Danesna east=Axisno west=Axelolu
Disnudu north=Daxusna south=Dinu east=Mege west=Digaxu
Memulinu north=Mudosne south=Delaligo east=Enelode west=Asnulixu
Amexu-A north=Dixosnigo south=Molasne east=Dasmemo west=Dolmu-E
Esnimino north=Magule south=Dolnodilmu east=Elenudila west=Alulimisme
Manosmisno north=Do-Ma south=Do-Mo east=Enimisno west=Elisnilo
Enigalu north=Exuda south=Elmusno east=Maxime west=Denodilmu
Amolo-A north=Do-Esma south=Mexexu east=Esnegine west=Emigelne
Amoludo north=Axo-Elu south=Dena east=Dolusmo west=Ego-Ale
Damano north=Dinela south=Esmulma east=Dalixinile west=Memuda
Egolnilnigo north=Amesna south=Amesne east=Emodulna
Dusnela north=Migalme south=Agosno east=Anixaxe west=Almolna
Modosna north=Delasne south=Anegosmo east=Exexalu west=Egulage
Emusnismo north=Esmalu south=Exodudilo east=Minala west=Emesno
Deximigu north=Do-Mino south=Asmelmu east=Mismego west=Masnusme
Elagexo north=Agixule south=Mamasno east=Elosmo west=Migodu
Danu-A north=Elolnu south=Agu-Mo east=Mudalu west=Mulimo
Dixinu north=Dosmosmo south=Dodalo east=Amesminu west=Mixudimo
Demale north=Exudoline south=Denila east=Elinesnu west=Mimulno
Mo-Dasmo north=Elagusme south=Mo-Malne east=Amaligo west=Dulusne
Elesnu north=Dolmu south=Dilasnixe east=Melena west=Masmasno
Eganelu north=Maxoda south=Elusme east=Agexisnimo west=Degila
Exodusme north=Exodusmo south=Maxu east=Examixo west=Emoda
Molnegixilu north=Maxismo south=Amixinima east=Misno-Dima west=Dusmasno
Do-Do-E north=Desnamigu south=Musmaxiga east=Daxige west=Mamaga
Mexesno north=Mimula south=Magego west=Emexana
Delnexo north=Mexesminu south=Dosmosno east=Esnosna west=Damoda
Asnaxu north=Musninixu south=Egema east=Axuline west=Anosnisme
Enu-Exe north=Egoligu south=Egesnismisnixo east=Melemo west=Elenosmu
Du-Asnixu north=Dilmexixe south=Amexude east=Disnina west=Elenu
Asmu-Migigo north=Dasmagixe south=Demala east=Agulo west=Mulne
Alodu-A north=Enosnu south=Mexixixu east=Amixila west=Agimagu
Du-Mu north=Dixiga south=Mamu-A east=Migemu west=Dilulo
Migino north=Analoda south=Dexudo east=Daxo-De west=Mimimilu
Emisme north=Milosnilisma south=Exismu east=Milamo west=Agixagu
Dilosminimu north=Eligasnu south=Agenosne east=Emodulmo west=Esmelu
Eninigo north=Dulmela south=Mu-Egigu east=Emaxelo west=Mismexisno
Axanage north=Denala south=Mimulixe east=Dodu-E west=Alexanu
Mesma north=Amosnisme south=Mesme east=Egolusnixo west=Agodana
Mimudo north=Eneganige south=Du-Ena east=Mismosnu west=Danasme
Enigine north=Almige south=Modimisma east=Agudo west=Agilnu
Emo-Misno north=Dodelma south=Enalisma east=Agelmixu west=Dilasna
Anasme north=Enolalu south=Melmixu east=Mesmamixe west=Digule
Menole north=Mexegimu south=Danamu east=Dilelu west=Elusnu
Axenisna north=Exilasnixu south=Malego east=Dasnode west=Alexasnixe
Alalu north=Axiximisnu south=Memusne east=Anelusnu west=Exu-Ma
Mu-Dosma north=Amimusme south=Malamu east=Enodemo west=Axigemo
Alemaxa north=Amimu south=Amesminu east=Mile west=Dosmosmo
Asmosma north=Agusne south=Dexago east=Esnimismo west=Dolixe
Magulmigo north=Amenigu south=Elulnu east=Musminina west=Mu-Dimu
Agudigisne north=Memasme south=Asmudine east=Mimemixu west=Egosno
Dusminisne north=Exagule south=Mixine east=Almago west=Exu-Mu
Alolage north=Esnolmo south=Mixexine east=Do-Dinimina west=Dolo-Dixo
Disnelilnilnu south=Axodine east=Egudege west=Anemexu
Emamamila north=Amosme south=Axanulu east=Desnige west=Enasno
Dusmisnu north=Enilmimu south=Mudo-Mo east=Disname west=Alno-Digo
Dalege north=Amigusne south=Du-Me east=Emimelilo west=Dexo-Du
Agulne north=Elminu south=Alenusmisna east=Egosmu west=Elnega
Molime north=Digolo south=Delasma east=Memime west=Dulula
Egelesme north=Egudulmismo south=Agasme east=Anudeginu west=Eninesno
Mudalnilixu north=Denalno south=Mudilmo east=Molnixa west=Examosma
Desmegu north=Aximusne south=Axiludine east=Emo west=Alusnixe
Mamixo north=Elasma south=Elasme east=Enanega west=Mino-Mo
Amana north=Asmigimime south=Asnisno east=Asmodo west=Mixaxu
Dolusmo north=Anu-Asme south=Danilo east=Megana west=Amoludo
Amodo-Du north=Asnexe south=Megusna east=Anudilu west=Dulanimo
Mamule north=Dimu-E south=Desnuda east=Melmosmima west=Dolulo
Enu-De north=Eximu-E south=Mudege east=Elusnigisne west=Du-Mina
Enuleno north=Mismega south=Esnodigu east=Exagosme west=Exigiximu
Mosnisne north=Mololu south=Amaligo east=Axilenu west=Elagusme
Musmixe north=Elesme south=Egigu-E east=Magela west=Dageno
Elelimo north=Dudolmo south=Mane east=Amolula west=Agimalisna
Dimilu north=Demisna south=Mexo east=Dagode west=Amulnu
Do-Egina north=Eginega south=Dododima east=Du west=Egudaxo
Axodilu north=Minamo south=Menage east=Anamigo west=Dulima
Dilosna north=Examosmu south=Migasnigixu east=Elnu-De west=Delane
Dino north=Exegimisnixa south=Dinine east=Aginudu
Mismexe north=Eno-Mu south=Eninena east=Egelina west=Anismimismu
Mosnulu north=Esmesnu south=Axodasne east=Agixagu west=Exodu
Dodeme north=Elnola south=Asnolna east=Anagixa west=Mulminisninixe
Dodode north=Misma south=Molnosne east=Mismimimu west=Ego-Du
Misnude north=Esmulme south=Daxelu east=Mimosnigu west=Misminu
Amisnime north=Misno-Dima south=Exalu east=Mo-Dalmiga west=Amixinima
Meluline north=Dolo-A south=Dolo-E east=Degago west=Elanudilo
Desmeno north=Damu-E south=Alnisne east=Mimilmo west=Elaxame
Enismigu north=Migo-A south=Migo-E east=Asme west=Dilmusna
Managu north=Asmale south=Dola east=Elo-Da west=Dismosne
Esmolixo north=Daxame south=Mamulna east=Enelna west=Anexulu
Mixo-De north=Alago-E south=Mo-Asmino east=Agesma west=Elusmisne
Egigile north=Aligudo south=Amalu-Mu east=Egenema west=Enalude
Emenilna north=Do-Mole south=Dudulu east=Ena west=Dismego
Esnusnisme north=Esmexa south=Axilno east=Asmuda west=Maginisnima
Minexu north=Exule south=Musminu east=Emagu west=Mesmilu
Dalismu north=Dosnolime south=Anigodila east=Alelnismiminisna west=Egodude
Exuleme north=Asmega south=Asmego east=Egulniximu west=Enale
Eminesne north=Mo-Molimu south=Axodexe east=Egegudu west=Musmexisna
Emulminimixixe north=Mosnamo south=Mismeligo east=Dulismo west=Asnena
Esnanu north=Exaxega south=Axasmo east=Axigu-A west=Anaxusno
Asmima north=Misnu-Miximo south=Esnixisne east=Maxino west=Enimeme
Amelo north=Axusmimu south=Egagino east=Modenu west=Eligusmu
Egele north=Misnaminisma south=Enulma east=Axixe west=Dega
Dulmismu north=Mismilu south=Axoludo east=Enudosmo west=Amixiga
Esmodo north=Elenulo south=Axelnu east=Enosmisnu west=Dodo-E
Dalnalno north=Anelnu south=Emodesmu east=Elegosmimila west=Anodo-De
Mesmaxu north=Dulnexo south=Dosmulnu east=Agagilu west=Dasnalo
Modusnilmo north=Dimasmigu south=Egismo east=Amasnixe west=Dixolo
Elasmo north=Enememe south=Mudaxa east=Migudu west=Degu-A
Memusmu north=Denaga south=Exu-Asma east=Amelexo west=Dexexu
Eximo-E north=Enusna south=Migana east=Enene west=Masmisnu
Digala north=Emixeno south=Exulexu east=Megu-Da west=Emo-Da
Dulnesna north=Du-Ame south=Modulo east=Amexe west=Migula
Musnude north=Esnulme south=Esnu-A east=Dulmude west=Egagosmu
Elela north=Aneno-De south=Dalamile east=Megale west=Mamenilu
Amelne north=Emusmine south=Musnixo east=Eginu west=Do
Do-Megina south=Enigemimo east=Emanode west=Egagine
Agusmixe north=Dagodo south=Dule east=Anasmime west=Dexilno
Dolu north=Esmaxu south=Deneligu east=Esme west=Ago-Emu
Elemesme north=Dasnodina south=Mismesmu east=Alixusna west=Mismusna
Elanesme north=Almaxe south=Enamule east=Dilolmo west=Eximenilo
Menima north=Melelo south=Agolanu east=Emismo west=Modexe
Axudulu north=Mo-Ma south=Dulna east=Dolaxe west=Mixolmixa
Agimo-De north=Musnu-Dime south=Alu east=Amodano west=Axena
Mulolo north=Exenelo south=Elamine east=Axulu west=Degu
Exelosno north=Du-Dismu south=Alulu-E east=Amano west=Du-Axo
Agodimo north=Dosnexu south=Maxosme east=Dismo-Me west=Meno
Amexeno north=Agudilne south=Desnasmo east=Axilo-E west=Masnema
Mimixu north=Agasmu south=Dimu-A east=Mesmeligo west=Axanigisne
Digeligu north=Delana south=Dosmolo east=Malu-Disne west=Asmusma
Digaxu north=Esnexe south=Agu-Do east=Disnudu west=Esmusme
Asmasne north=Mosmesno south=Dolmamo east=Aligulnu west=Alisnila
Amulu north=Alixexa south=Esmo-A east=Mo-Migo west=Enenesno
Amixagila north=Dago south=Axodisnu east=Dolexu
Dasmoda north=Meguda south=Migu-Do east=Magu-Ma west=Delaninixu
Axisma north=Mesmige south=Axudine east=Desnesna west=Esnigo
Dismasno north=Exodene south=Mismixa east=Molaxe west=Agosnige
Asmagu north=Axeleno south=Desmodixa east=Molisnige west=Emexusnu
Dudaxu north=Deme south=Demo east=Modolilmu west=Amilalu
Menu-Do north=Agulamino south=Dusmudino east=Menilo west=Exelosme
Emulosma north=Egamosmismino south=Manudu west=Amo-Ene
Minudimu north=Mixigu south=Mismamimo east=Asnuligo west=Dolesne
Dulusne north=Do-Dene south=Aginasnu east=Mo-Dasmo west=Mamexa
Milesmu north=Exigixe south=Mudaxixo east=Amo-Milne west=Ano-Ega
Esnexa north=Egagasna south=Amodo east=Dexexu west=Emanexo
Axama north=Exilmu south=Emodulmo west=Eligasnu
Demigile north=Egu-Egile south=Demosmu east=Amoleno west=Delaxinu
Enudosma north=Asmusnina south=Agenu east=Esnesma west=Dasmosnu
Anixosme north=Manolnu south=Emulmige east=Axudigila west=Alimaxo
Do-Du north=Agixixu south=Desmolnu east=Elinago west=Agosma
Anodena north=Exulule south=Enano east=Amasne west=Du-Masmu
Dexusma north=Dexusme south=Alemu east=Dalesminu west=Alnudu
Dexige north=Dilmu-E south=Dududu east=Emimimo west=Asmudigo
Mosnamu north=Agiligu south=Dusnusmigu east=Anigila west=Mamelno
Esnena north=Mulnalo south=Modulile east=Exodegu west=Musmoliga
Esnixe north=Esnixa south=Dudininime east=Agosnime west=Enalaga
Masnulme north=Amulolo south=Asnamu east=Aninoda west=Amudolmu
Dinu-Dige north=Malemixo south=Anismu east=Dilu west=Asmoda
Deganiga north=Memu south=Emolemimiga east=Mamulinu west=Du-Amo
Dusnaxu north=Manisma south=Esnimismo east=Mulo west=Agusne
Asnega north=Asnego south=Asnege east=Alosnisnisnixo west=Alulime
Enalo north=Alegige south=Emulage east=Emaxula west=Do-Egismigilnimo
Dudo-A north=Daxo-A south=Alalano east=Dismaxa west=Mamigo
Digule north=Dinu-De south=Anixine east=Anasme west=Dosne
Mu-Esninu north=Mu-Do south=Axaninisme east=Enelolo west=Asmudilmu
Mulegixo north=Agilnu south=Egagale east=Modimisma west=Degulno
Miganu north=Amalenimu south=Agemo east=Mixago west=Dolimimo
Molage north=Esmudinisma south=Almanu east=Misname west=Mudodigu
Anegigo north=Dolego south=Elaximu east=Axanigisne west=Elnosmisme
Esnisnu north=Anulo south=Mismelnino east=Dolnalo west=Musnago
Axosna north=Axosno south=Mameno east=Milaximo west=Menaga
Esnenimo north=Dimelixilnu south=Molnixa east=Egixene west=Denalno
Dixolno north=Egusno south=Dasmine east=Egalme west=Exino
Asnosna north=Musnusno south=Enelodisne east=Du-Mexisne west=Mulmesmisminu
Agudolu north=Amude south=Asmodo east=Alnimo west=Asmigimime
Mimema north=Dusmismigixe south=Migelnimo east=Dismigo west=Mosnano
Amegamo north=Amagamu south=Anodosnige east=Miliga west=Agu-Ano
Exigosnixo north=Elnosmisme south=Mu-Ame east=Elaximu west=Dasna
Dinisno north=Esnudu south=Eninole east=Mosnesne west=Amudimisno
Damege north=Delodismu south=Malesmu east=Exulo west=Agodusma
Asnudo north=Masmalu south=Dela east=Amodixa west=Denine
Masnodo north=Elaxisme south=Agimesno east=Do-Agu west=Amanilu
Do-Alu north=Exilno south=Dusmago east=Axu-Ma west=Anenu-E
Dilixe north=Esmasnu south=Disnexa east=Dismage west=Dusmolnina
Misnodininigo north=Dasnude south=Anolu east=Dego-E west=Alu-Amo
Dimudino north=Dexosna south=Anolna east=Esmo-Me west=Mesmigo
Digode north=Elo-Asmu south=Molaxo east=Almaxa west=Ago-Mu
Enenesme north=Dasno-Minu south=Mexolne east=Asmudo west=Amemiga
Anulma north=Anulme south=Daxesnu east=Manode west=Mosniga
Axagosnu north=Danimu south=Axaxixo east=Dodexa west=Amasno
Dusmeno north=Alolude south=Du-Malmu east=Dodenilme west=Agimixo
Exudege north=Agoda south=Agode east=Axaximu west=Agaxulne
Asmexo north=Degago south=Axexismixu east=Anu-Elu west=Dolo-E
Denasme north=Daga south=Malmu east=Anosno
Mexo-A north=Egodoligilu south=Alno-Me east=Anu west=Anemaxilisma
Do-Ame north=Melodo south=Dasmaximu east=Mulu-E west=Asmimu
Mesmega north=Exu-De south=Axixixa east=Mu-Minu west=Mo-Mimo
Molesmu north=Mosmala south=Elu east=Dismolu west=Du-Mixe
Mine north=Mina south=Alodisme east=Axusma west=Mo-Dusmu
Mulmulilo north=Anudasne south=Dulima east=Minamo west=Axamulo
Mismudo north=Memu-Du south=Mamelisme east=Elnasno west=Asnigu
Enego north=Amenilo south=Magu-A east=Esmale west=Melusne
Amixinima north=Molnegixilu south=Maxisme east=Amisnime west=Egiganisnu
Esmama north=Alosno south=Ego-Exu east=Emalno west=Meline
Amu north=Magu-Mo south=Alodode west=Esnane
Elulele north=Daxasmo south=Migige east=Emu-Emu west=Denilixa
Musnelinisne north=Anolimu south=Emo east=Dixelismu west=Aximusne
Mismina north=Danage south=Mismine east=Mududima west=Enino
Molmismu north=Almaninu south=Magesnu east=Melnaxigine west=Mu-Dusmixa
Mo-Dismigo north=Elanesna south=Desmusma east=Amegu west=Du-Mo-Du
Dimana north=Emegalu south=Dige east=Eginu-Dilnilma west=Egeludu
Mosmu-Da north=Esmisma south=Eganamigismiga east=Mexu-Du west=Masnosne
Agolame north=Dosnismismigima south=Miminu east=Mulanu west=Mo-Exe
Dusno north=Miliximo south=Axosme east=Dixelmo west=Esnodo
Emelene north=Desnesme south=Egixamu east=Ananino west=Exagimo
Alu-Ele north=Mo-Manu south=Esnosme east=Minixo west=Mosnesne
Musneno north=Alegiga south=Mexamo east=Exu west=Amodu-A
Desmemu north=Agodode south=Mexo-Dinino east=Exo west=Emegane
Dagege north=Managinu south=Amasnixe east=Maxamu west=Dimasmigu
Dosmelu north=Amilesno south=Amilne east=Amanino west=Esmexe
Demasmu north=Musmu-Dixo south=Esmu east=Demismixe west=Dimege
Degusnu north=Enosnige south=Emegusmo east=Enixode west=Mudima
Ega north=Maxexe south=Anodosno east=Du-Esme west=Esmalmu
Amu-De north=Danulo south=Exusmo east=Degodo west=Dimemo
Axexige north=Asmige south=Mexuda east=Modemo west=Daneline
Emo-Me north=Analu south=Do-Esnu east=Do-Esmisma west=Dalno-A
Daxesmigu north=Malaninixo south=Mismimimu east=Magena west=Misma
Masnusma north=Alnaga south=Alnage east=Esmina west=Mimosma
Digusmino north=Duludo south=Mo-Dalmiga east=Enexe west=Misno-Dima
Mu-Mo-E north=Axosmo south=Mo-Egu east=Damodu west=Mesnenilnu
Degu-A north=Dalemo south=Axesna east=Elasmo west=Axusmo
Dalo north=Dala south=Dulmemu east=Dulala west=Mixu-Mo
Demexo north=Mesmo-A south=Mulnulnixe east=Dismemiga west=Musne
Anodigismo north=Exu-Ma south=Eligo-E east=Memusne west=Asninu
Mimasna north=Dismusnu south=Milna east=Maleme west=Magu-Ma
Aneludilna north=Elosnu south=Mama east=Anodismine west=Alagime
Menagile north=Alu-Me south=Alu-Mo east=Elosmilu west=Molixa
Deximililu north=Migula south=Disnodinigo east=Modulo west=Axexesme
Axololme north=Dasmudisne south=Ageno-E east=Dusnexiga west=Aligimigu
